RAPPORT CAMPAGNE PUBLICITAIRE
Campagne,C1
Date,2026-01-30
Généré le,2026-01-30 19:19:46

Annonce ID,Impressions,Clics,CTR (%),CPC (€)
A4,495,549,110.91,0.14
A9,507,549,108.28,0.14
A17,483,543,112.42,0.14
A5,540,538,99.63,0.14
A15,505,532,105.35,0.14
A13,503,528,104.97,0.14
A2,454,518,114.1,0.15
A1,483,515,106.63,0.15
A8,495,515,104.04,0.15
A12,475,513,108.0,0.15
A16,502,512,101.99,0.15
A19,495,500,101.01,0.15
A3,496,500,100.81,0.15
A6,496,498,100.4,0.15
A11,486,487,100.21,0.16
A20,482,483,100.21,0.16
A14,474,470,99.16,0.16
A18,474,464,97.89,0.16
A7,503,464,92.25,0.16
A10,504,455,90.28,0.17

=====,=====,=====,=====,=====
TOTAL,9852,10133,102.85,0.01

MÉTRIQUES GLOBALES
Coût Total (€),76.08
CPC Moyen (€),0.01
CTR Global (%),102.85
Nombre d'annonces,20
